#,autor_docente,autores,producao,ano,tipo_producao,citescore,quartil_citescore,percentile,quartil_percentile,q_p,qualis_estrato,qualis,programas,prog._qtd,Cluster
103534,1,[61724],10370639,2018,25,7.32,1.00,96,1.00,Q4,1.00,A1,[23001011012P3-23001011041P3],2,cluster1
103555,1,[61724],10370666,2018,25,3.66,1.00,91,1.00,Q4,1.00,A1,[23001011012P3-23001011041P3],2,cluster1
103558,1,[61724],10370669,2019,25,5.08,1.00,96,1.00,Q4,1.00,A1,[23001011012P3-23001011041P3],2,cluster1
103561,1,[61724],10370673,2017,25,3.66,1.00,91,1.00,Q4,1.00,A1,[23001011012P3-23001011041P3],2,cluster1
103628,1,[61759],10377204,2016,25,1.88,0.75,72,0.75,Q3,0.80,A3,[23001011020P6],1,cluster1
103653,2,[61792-69538],10382351,2016,25,4.58,1.00,89,1.00,Q4,1.00,A1,[23001011007P0-23001011021P2],2,cluster1
103667,2,[61792-73537],10382369,2016,25,4.98,1.00,97,1.00,Q4,1.00,A1,[23001011008P6-23001011021P2],2,cluster1
103669,1,[61795],10382792,2008,25,3.29,1.00,79,1.00,Q4,0.90,A2,[22001018074P6-22003010017P5-23001011020P6-23001011036P0],4,cluster1
103676,2,[61795-63789],10382803,2016,25,3.36,1.00,80,1.00,Q4,0.90,A2,[22001018074P6-22003010017P5-23001011020P6-23001011036P0],4,cluster1
103680,2,[61795-63789],10382809,2017,25,3.14,1.00,78,1.00,Q4,0.90,A2,[22001018074P6-22003010017P5-23001011020P6-23001011036P0],4,cluster1
103682,1,[61795],10382812,2008,25,3.78,1.00,89,1.00,Q4,1.00,A1,[22001018074P6-22003010017P5-23001011020P6-23001011036P0],4,cluster1
103689,1,[61795],10382820,2009,25,3.78,1.00,89,1.00,Q4,1.00,A1,[22001018074P6-22003010017P5-23001011020P6-23001011036P0],4,cluster1
103694,1,[61795],10382825,2007,25,3.03,1.00,76,1.00,Q4,0.80,A3,[22001018074P6-22003010017P5-23001011020P6-23001011036P0],4,cluster1
103700,1,[61795],10382831,2008,25,5.98,1.00,95,1.00,Q4,1.00,A1,[22001018074P6-22003010017P5-23001011020P6-23001011036P0],4,cluster1
103701,1,[61795],10382832,2011,25,3.36,1.00,80,1.00,Q4,0.90,A2,[22001018074P6-22003010017P5-23001011020P6-23001011036P0],4,cluster1
103707,3,[61795-63789-88997],10382839,2016,25,3.36,1.00,80,1.00,Q4,0.90,A2,[22001018074P6-22003010017P5-23001011020P6-23001011036P0-23001011056P0],5,cluster1
103723,1,[61795],10382864,2011,25,3.36,1.00,80,1.00,Q4,0.90,A2,[22001018074P6-22003010017P5-23001011020P6-23001011036P0],4,cluster1
103724,2,[61795-63789],10382865,2016,25,5.92,1.00,96,1.00,Q4,1.00,A1,[22001018074P6-22003010017P5-23001011020P6-23001011036P0],4,cluster1
103737,1,[61795],10382881,2011,25,3.36,1.00,80,1.00,Q4,0.90,A2,[22001018074P6-22003010017P5-23001011020P6-23001011036P0],4,cluster1
103738,3,[61795-63251-63789],10382882,2019,25,3.14,1.00,78,1.00,Q4,0.90,A2,[22001018074P6-22003010017P5-23001011020P6-23001011023P5-23001011036P0],5,cluster1
103742,2,[61795-63789],10382887,2016,25,3.36,1.00,80,1.00,Q4,0.90,A2,[22001018074P6-22003010017P5-23001011020P6-23001011036P0],4,cluster1
103744,1,[77085],10383734,2007,25,2.77,1.00,77,1.00,Q4,0.00,C/NI/NP,[23001011012P3],1,cluster1
103745,1,[77085],10383822,2006,25,3.31,1.00,87,1.00,Q4,0.90,A2,[23001011012P3],1,cluster1
103759,1,[61851],10391888,2012,25,3.66,1.00,82,1.00,Q4,0.90,A2,[23001011031P8],1,cluster1
103763,1,[61851],10391896,2005,25,0.80,0.50,67,0.75,Q3,0.50,B1,[23001011031P8],1,cluster1
103807,1,[61851],10391957,1998,25,4.44,1.00,86,1.00,Q4,1.00,A1,[23001011031P8],1,cluster1
103835,1,[61851],10391995,2015,25,1.18,0.75,79,1.00,Q4,0.70,A4,[23001011031P8],1,cluster1
103838,1,[61851],10392001,2005,25,10.28,1.00,99,1.00,Q4,1.00,A1,[23001011031P8],1,cluster1
103850,1,[61851],10392025,2000,25,2.85,1.00,80,1.00,Q4,0.80,A3,[23001011031P8],1,cluster1
103854,1,[61851],10392030,2007,25,3.02,1.00,72,0.75,Q3,0.80,A3,[23001011031P8],1,cluster1
103855,1,[61851],10392031,2005,25,3.00,1.00,94,1.00,Q4,1.00,A1,[23001011031P8],1,cluster1
103874,1,[61851],10392066,2004,25,0.76,0.50,36,0.50,Q2,0.35,B2,[23001011031P8],1,cluster1
103895,1,[61871],10395913,2018,25,2.92,1.00,69,0.75,Q3,0.90,A2,[23001011041P3],1,cluster1
103904,1,[61871],10395927,2018,25,2.92,1.00,69,0.75,Q3,0.90,A2,[23001011041P3],1,cluster1
103905,1,[61871],10395928,2012,25,2.48,1.00,70,0.75,Q3,0.80,A3,[23001011041P3],1,cluster1
103930,1,[61871],10395960,2018,25,2.92,1.00,69,0.75,Q3,0.90,A2,[23001011041P3],1,cluster1
103939,1,[91082],10398260,2018,25,1.92,0.75,66,0.75,Q3,0.80,A3,[23001011170P8],1,cluster1
103941,2,[61917-79626],10407178,2005,25,1.05,0.75,48,0.50,Q2,0.00,C/NI/NP,[23001011029P3-23001011033P0-23001011072P6-31010016027P9],4,cluster1
104059,1,[61940],10412393,2010,25,2.22,1.00,47,0.50,Q2,0.70,A4,[23001011050P2-23001011079P0],2,cluster1
104078,2,[63544-86486],10418506,2005,25,3.09,1.00,74,0.75,Q3,0.80,A3,[23001011012P3],1,cluster1
104082,2,[63544-86486],10418531,2005,25,3.09,1.00,74,0.75,Q3,0.80,A3,[23001011012P3],1,cluster1
104084,1,[86486],10418534,2017,25,1.10,0.75,57,0.75,Q3,0.50,B1,[23001011012P3],1,cluster1
104091,1,[75818],10420080,1993,25,0.82,0.50,50,0.75,Q3,0.00,C/NI/NP,[23001011029P3],1,cluster1
104120,1,[61982],10420718,2015,25,0.57,0.50,56,0.75,Q3,0.90,A2,[23001011029P3],1,cluster1
104132,1,[61982],10420735,2019,25,0.62,0.50,63,0.75,Q3,0.80,A3,[23001011029P3],1,cluster1
104135,1,[70851],10424029,2013,25,1.71,0.75,76,1.00,Q4,0.00,C/NI/NP,[23001011005P7-23001011033P0],2,cluster1
104136,1,[70851],10424037,2013,25,1.36,0.75,51,0.75,Q3,0.50,B1,[23001011005P7-23001011033P0],2,cluster1
104137,1,[70851],10424071,2013,25,2.48,1.00,89,1.00,Q4,1.00,A1,[23001011005P7-23001011033P0],2,cluster1
104138,1,[65999],10424110,2017,25,5.10,1.00,88,1.00,Q4,0.90,A2,[23001011010P0],1,cluster1
104139,1,[65999],10424123,2017,25,4.12,1.00,92,1.00,Q4,0.90,A2,[23001011010P0],1,cluster1
104140,1,[65999],10424133,2014,25,3.55,1.00,88,1.00,Q4,0.90,A2,[23001011010P0],1,cluster1
104141,1,[65999],10424140,2018,25,8.64,1.00,95,1.00,Q4,1.00,A1,[23001011010P0],1,cluster1
104142,1,[65999],10424196,2019,25,5.10,1.00,88,1.00,Q4,0.90,A2,[23001011010P0],1,cluster1
104143,1,[65999],10424250,2016,25,8.27,1.00,94,1.00,Q4,1.00,A1,[23001011010P0],1,cluster1
104144,1,[65999],10424263,2017,25,4.12,1.00,92,1.00,Q4,0.90,A2,[23001011010P0],1,cluster1
104164,1,[62102],10440973,2017,25,0.91,0.75,62,0.75,Q3,0.00,C/NI/NP,[23001011022P9],1,cluster1
104165,1,[62102],10440978,2008,25,1.89,0.75,94,1.00,Q4,1.00,A1,[23001011022P9],1,cluster1
104166,1,[62102],10440979,2011,25,9.63,1.00,99,1.00,Q4,1.00,A1,[23001011022P9],1,cluster1
104167,1,[62102],10440980,2018,25,4.64,1.00,92,1.00,Q4,1.00,A1,[23001011022P9],1,cluster1
104171,1,[62102],10440991,2007,25,19.67,1.00,99,1.00,Q4,0.00,C/NI/NP,[23001011022P9],1,cluster1
104174,1,[62102],10440995,2012,25,0.68,0.50,41,0.50,Q2,0.70,A4,[23001011022P9],1,cluster1
104177,1,[83911],10443704,2010,25,3.21,1.00,54,0.75,Q3,0.90,A2,[23001011020P6],1,cluster1
104178,1,[76483],10445848,2013,25,1.20,0.75,63,0.75,Q3,0.80,A3,[23001011050P2],1,cluster1
104185,1,[62170],10450092,2015,25,2.91,1.00,79,1.00,Q4,0.90,A2,[23001011018P1],1,cluster1
104190,1,[62170],10450099,2003,25,3.01,1.00,84,1.00,Q4,0.90,A2,[23001011018P1],1,cluster1
104191,1,[62170],10450100,2012,25,3.49,1.00,99,1.00,Q4,1.00,A1,[23001011018P1],1,cluster1
104195,1,[62170],10450106,2019,25,3.06,1.00,94,1.00,Q4,1.00,A1,[23001011018P1],1,cluster1
104198,1,[62170],10450110,2019,25,4.07,1.00,92,1.00,Q4,1.00,A1,[23001011018P1],1,cluster1
104205,1,[62170],10450120,2009,25,3.49,1.00,99,1.00,Q4,1.00,A1,[23001011018P1],1,cluster1
104213,1,[62170],10450128,2016,25,3.01,1.00,84,1.00,Q4,0.90,A2,[23001011018P1],1,cluster1
104217,1,[62170],10450132,2018,25,1.92,0.75,73,0.75,Q3,0.90,A2,[23001011018P1],1,cluster1
104218,1,[62170],10450133,2013,25,4.89,1.00,97,1.00,Q4,1.00,A1,[23001011018P1],1,cluster1
104226,1,[62170],10450141,2014,25,2.91,1.00,79,1.00,Q4,0.90,A2,[23001011018P1],1,cluster1
104228,1,[62170],10450143,2007,25,2.91,1.00,79,1.00,Q4,0.90,A2,[23001011018P1],1,cluster1
104232,1,[62170],10450147,2004,25,2.91,1.00,79,1.00,Q4,0.90,A2,[23001011018P1],1,cluster1
104246,1,[62170],10450162,2005,25,4.89,1.00,96,1.00,Q4,1.00,A1,[23001011018P1],1,cluster1
104247,1,[62170],10450163,2004,25,2.49,1.00,71,0.75,Q3,0.90,A2,[23001011018P1],1,cluster1
104256,1,[62170],10450172,2012,25,4.89,1.00,97,1.00,Q4,1.00,A1,[23001011018P1],1,cluster1
104261,1,[62170],10450177,2013,25,3.01,1.00,84,1.00,Q4,0.90,A2,[23001011018P1],1,cluster1
104265,1,[62170],10450181,2010,25,2.91,1.00,79,1.00,Q4,0.90,A2,[23001011018P1],1,cluster1
104269,1,[62170],10450187,2019,25,6.83,1.00,99,1.00,Q4,1.00,A1,[23001011018P1],1,cluster1
104271,1,[62170],10450189,2000,25,2.91,1.00,79,1.00,Q4,0.90,A2,[23001011018P1],1,cluster1
104287,1,[62170],10450206,2005,25,2.91,1.00,79,1.00,Q4,0.90,A2,[23001011018P1],1,cluster1
104289,1,[62170],10450208,2019,25,3.49,1.00,99,1.00,Q4,1.00,A1,[23001011018P1],1,cluster1
104295,1,[62170],10450215,2009,25,2.49,1.00,71,0.75,Q3,0.90,A2,[23001011018P1],1,cluster1
104297,1,[62170],10450217,2011,25,2.91,1.00,79,1.00,Q4,0.90,A2,[23001011018P1],1,cluster1
104298,1,[62170],10450218,2015,25,3.01,1.00,84,1.00,Q4,0.90,A2,[23001011018P1],1,cluster1
104306,1,[62170],10450227,2009,25,2.91,1.00,79,1.00,Q4,0.90,A2,[23001011018P1],1,cluster1
104308,1,[62170],10450229,2017,25,2.91,1.00,79,1.00,Q4,0.90,A2,[23001011018P1],1,cluster1
104309,1,[62170],10450230,2013,25,3.01,1.00,84,1.00,Q4,0.90,A2,[23001011018P1],1,cluster1
104333,1,[62170],10450254,2005,25,3.49,1.00,99,1.00,Q4,1.00,A1,[23001011018P1],1,cluster1
104340,1,[62170],10450263,2018,25,2.91,1.00,79,1.00,Q4,0.90,A2,[23001011018P1],1,cluster1
104343,1,[62170],10450266,2013,25,3.01,1.00,84,1.00,Q4,0.90,A2,[23001011018P1],1,cluster1
104346,1,[62170],10450269,2017,25,2.91,1.00,79,1.00,Q4,0.90,A2,[23001011018P1],1,cluster1
104347,1,[62170],10450270,2018,25,4.07,1.00,92,1.00,Q4,1.00,A1,[23001011018P1],1,cluster1
104349,1,[62170],10450272,2015,25,3.39,1.00,83,1.00,Q4,0.90,A2,[23001011018P1],1,cluster1
104350,1,[62170],10450273,2019,25,3.01,1.00,84,1.00,Q4,0.90,A2,[23001011018P1],1,cluster1
104358,1,[62170],10450281,2009,25,3.39,1.00,83,1.00,Q4,0.90,A2,[23001011018P1],1,cluster1
104360,1,[62170],10450284,1998,25,2.49,1.00,71,0.75,Q3,0.90,A2,[23001011018P1],1,cluster1
104367,1,[62170],10450293,2009,25,3.39,1.00,83,1.00,Q4,0.90,A2,[23001011018P1],1,cluster1
104380,1,[62170],10450307,2007,25,3.49,1.00,99,1.00,Q4,1.00,A1,[23001011018P1],1,cluster1
104382,1,[62170],10450309,2009,25,3.49,1.00,99,1.00,Q4,1.00,A1,[23001011018P1],1,cluster1
104383,1,[62170],10450311,2012,25,3.01,1.00,84,1.00,Q4,0.90,A2,[23001011018P1],1,cluster1
104386,1,[62170],10450316,2016,25,3.01,1.00,84,1.00,Q4,0.90,A2,[23001011018P1],1,cluster1
104388,1,[62170],10450318,2014,25,1.50,0.75,54,0.75,Q3,0.00,C/NI/NP,[23001011018P1],1,cluster1
104395,1,[67997],10450453,2006,25,1.49,0.75,54,0.75,Q3,0.70,A4,[23001011010P0-23001011031P8],2,cluster1
104396,1,[67997],10450459,2001,25,1.85,0.75,64,0.75,Q3,0.80,A3,[23001011010P0-23001011031P8],2,cluster1
104400,1,[74951],10451128,2015,25,0.26,0.25,53,0.75,Q3,1.00,A1,[23001011036P0],1,cluster1
104411,1,[62219],10456968,1999,25,1.19,0.75,50,0.75,Q3,0.90,A2,[23001011011P7-23001011026P4],2,cluster1
104418,1,[62219],10456977,1999,25,2.57,1.00,77,1.00,Q4,0.90,A2,[23001011011P7-23001011026P4],2,cluster1
104420,2,[62219-80175],10456979,2013,25,4.67,1.00,88,1.00,Q4,1.00,A1,[23001011011P7-23001011026P4],2,cluster1
104422,1,[62219],10456981,2018,25,1.33,0.75,69,0.75,Q3,0.80,A3,[23001011011P7-23001011026P4],2,cluster1
104423,1,[62219],10456982,2017,25,1.13,0.75,45,0.50,Q2,0.50,B1,[23001011011P7-23001011026P4],2,cluster1
104430,2,[62219-80175],10456991,2018,25,3.50,1.00,87,1.00,Q4,1.00,A1,[23001011011P7-23001011026P4],2,cluster1
104445,1,[62219],10457006,2017,25,3.50,1.00,87,1.00,Q4,1.00,A1,[23001011011P7-23001011026P4],2,cluster1
104458,1,[62219],10457022,2001,25,2.83,1.00,78,1.00,Q4,0.90,A2,[23001011011P7-23001011026P4],2,cluster1
104468,2,[62219-80175],10457035,2017,25,1.40,0.75,55,0.75,Q3,0.90,A2,[23001011011P7-23001011026P4],2,cluster1
104472,1,[62219],10457039,2002,25,3.31,1.00,87,1.00,Q4,0.90,A2,[23001011011P7-23001011026P4],2,cluster1
104480,2,[62219-80175],10457047,2018,25,1.97,0.75,69,0.75,Q3,0.90,A2,[23001011011P7-23001011026P4],2,cluster1
104490,1,[62219],10457058,2014,25,5.03,1.00,94,1.00,Q4,1.00,A1,[23001011011P7-23001011026P4],2,cluster1
104492,1,[62219],10457060,2014,25,3.58,1.00,77,0.75,Q3,0.90,A2,[23001011011P7-23001011026P4],2,cluster1
104494,1,[62219],10457063,2018,25,4.16,1.00,90,1.00,Q4,1.00,A1,[23001011011P7-23001011026P4],2,cluster1
104536,1,[62219],10457110,2012,25,8.47,1.00,98,1.00,Q4,1.00,A1,[23001011011P7-23001011026P4],2,cluster1
104550,1,[62219],10457125,1999,25,5.04,1.00,98,1.00,Q4,0.00,C/NI/NP,[23001011011P7-23001011026P4],2,cluster1
104573,1,[62219],10457150,2016,25,1.19,0.75,50,0.75,Q3,0.90,A2,[23001011011P7-23001011026P4],2,cluster1
104575,2,[62219-80175],10457153,2018,25,2.74,1.00,76,1.00,Q4,0.80,A3,[23001011011P7-23001011026P4],2,cluster1
104576,2,[62219-80175],10457154,2018,25,3.50,1.00,87,1.00,Q4,1.00,A1,[23001011011P7-23001011026P4],2,cluster1
104593,1,[62219],10457172,2002,25,3.80,1.00,87,1.00,Q4,1.00,A1,[23001011011P7-23001011026P4],2,cluster1
104599,1,[62219],10457180,2017,25,5.03,1.00,94,1.00,Q4,1.00,A1,[23001011011P7-23001011026P4],2,cluster1
104673,2,[62289-81996],10467158,2013,25,6.41,1.00,97,1.00,Q4,1.00,A1,[23001011021P2-23001011041P3],2,cluster1
104689,1,[62293],10467770,2014,25,1.08,0.75,62,0.75,Q3,0.70,A4,[23001011050P2],1,cluster1
104722,1,[62293],10467816,2005,25,0.35,0.50,30,0.50,Q2,0.50,B1,[23001011050P2],1,cluster1
104760,1,[62293],10467864,2010,25,2.51,1.00,79,1.00,Q4,0.00,C/NI/NP,[23001011050P2],1,cluster1
104788,1,[62912],10468780,2014,25,0.80,0.50,44,0.50,Q2,0.50,B1,[23001011015P2],1,cluster1
104835,1,[62419],10486517,2017,25,0.63,0.50,37,0.50,Q2,0.50,B1,[23001011171P4-23001011173P7],2,cluster1
104838,2,[62419-69564],10486521,2019,25,2.17,1.00,82,1.00,Q4,0.90,A2,[23001011171P4-23001011173P7],2,cluster1
104845,1,[62419],10486537,2017,25,1.88,0.75,72,0.75,Q3,0.80,A3,[23001011171P4-23001011173P7],2,cluster1
104880,1,[62419],10486620,2017,25,2.49,1.00,88,1.00,Q4,0.90,A2,[23001011171P4-23001011173P7],2,cluster1
104894,1,[62527],10506812,2012,25,0.70,0.50,41,0.50,Q2,0.50,B1,[23001011035P3],1,cluster1
104897,1,[62527],10506820,2007,25,1.00,0.75,51,0.50,Q2,0.00,C/NI/NP,[23001011035P3],1,cluster1
104899,1,[62527],10506825,2019,25,2.37,1.00,87,1.00,Q4,0.90,A2,[23001011035P3],1,cluster1
104903,1,[62527],10506833,2019,25,1.06,0.75,54,0.75,Q3,0.50,B1,[23001011035P3],1,cluster1
104910,1,[62527],10506842,2014,25,3.02,1.00,89,1.00,Q4,1.00,A1,[23001011035P3],1,cluster1
104915,1,[62527],10506848,2019,25,1.34,0.75,64,0.75,Q3,0.80,A3,[23001011035P3],1,cluster1
104916,1,[62527],10506851,2004,25,1.00,0.75,51,0.50,Q2,0.00,C/NI/NP,[23001011035P3],1,cluster1
104919,1,[62527],10506855,2015,25,0.80,0.50,44,0.50,Q2,0.50,B1,[23001011035P3],1,cluster1
104939,1,[62527],10506885,2015,25,0.70,0.50,41,0.50,Q2,0.50,B1,[23001011035P3],1,cluster1
104942,1,[62527],10506888,2003,25,0.70,0.50,41,0.50,Q2,0.50,B1,[23001011035P3],1,cluster1
104947,1,[62527],10506899,2011,25,1.34,0.75,64,0.75,Q3,0.80,A3,[23001011035P3],1,cluster1
104951,1,[62527],10506906,2004,25,1.05,0.75,60,0.75,Q3,0.00,C/NI/NP,[23001011035P3],1,cluster1
104954,1,[62527],10506912,2011,25,1.00,0.75,51,0.50,Q2,0.00,C/NI/NP,[23001011035P3],1,cluster1
104955,1,[62527],10506913,2015,25,1.05,0.75,60,0.75,Q3,0.70,A4,[23001011035P3],1,cluster1
104956,1,[62527],10506916,2006,25,0.70,0.50,41,0.50,Q2,0.50,B1,[23001011035P3],1,cluster1
104959,1,[62527],10506920,2018,25,2.37,1.00,87,1.00,Q4,0.90,A2,[23001011035P3],1,cluster1
104963,1,[62527],10506926,2006,25,0.70,0.50,41,0.50,Q2,0.50,B1,[23001011035P3],1,cluster1
104964,1,[62527],10506927,2003,25,0.70,0.50,41,0.50,Q2,0.50,B1,[23001011035P3],1,cluster1
104966,1,[62527],10506931,2010,25,1.06,0.75,54,0.75,Q3,0.50,B1,[23001011035P3],1,cluster1
104968,1,[62527],10506935,2002,25,0.70,0.50,41,0.50,Q2,0.50,B1,[23001011035P3],1,cluster1
104969,1,[62527],10506937,2002,25,0.70,0.50,41,0.50,Q2,0.50,B1,[23001011035P3],1,cluster1
104970,1,[62527],10506938,2010,25,1.06,0.75,54,0.75,Q3,0.50,B1,[23001011035P3],1,cluster1
104971,1,[62527],10506939,2010,25,1.05,0.75,60,0.75,Q3,0.00,C/NI/NP,[23001011035P3],1,cluster1
104973,1,[62527],10506942,2006,25,1.34,0.75,64,0.75,Q3,0.80,A3,[23001011035P3],1,cluster1
104977,1,[62527],10506947,2016,25,1.05,0.75,60,0.75,Q3,0.70,A4,[23001011035P3],1,cluster1
104980,2,[62527-84212],10506956,2019,25,1.14,0.75,61,0.75,Q3,0.00,C/NI/NP,[23001011015P2-23001011035P3],2,cluster1
104982,1,[62527],10506960,2008,25,0.70,0.50,41,0.50,Q2,0.50,B1,[23001011035P3],1,cluster1
104984,1,[62527],10506962,2015,25,3.29,1.00,70,0.75,Q3,0.90,A2,[23001011035P3],1,cluster1
104986,1,[62527],10506964,2019,25,1.27,0.75,52,0.50,Q2,0.00,C/NI/NP,[23001011035P3],1,cluster1
104996,2,[62527-76494],10506978,2008,25,1.05,0.75,60,0.75,Q3,0.00,C/NI/NP,[22001018074P6-23001011003P4-23001011035P3-23001011036P0-23001011059P0],5,cluster1
105003,1,[62527],10506994,2012,25,0.89,0.50,50,0.75,Q3,0.70,A4,[23001011035P3],1,cluster1
105005,1,[62527],10506996,2012,25,1.06,0.75,54,0.75,Q3,0.50,B1,[23001011035P3],1,cluster1
105017,1,[62527],10507015,2010,25,1.37,0.75,66,0.75,Q3,0.70,A4,[23001011035P3],1,cluster1
105175,2,[62647-73584],10527792,2017,25,1.23,0.75,59,0.75,Q3,0.70,A4,[23001011022P9-23001011042P0],2,cluster1
105178,1,[62647],10527796,2015,25,2.12,1.00,80,1.00,Q4,1.00,A1,[23001011022P9-23001011042P0],2,cluster1
105179,1,[62647],10527797,2015,25,0.79,0.50,38,0.50,Q2,0.50,B1,[23001011022P9-23001011042P0],2,cluster1
105181,1,[62647],10527800,2019,25,1.06,0.75,51,0.75,Q3,0.00,C/NI/NP,[23001011022P9-23001011042P0],2,cluster1
105182,2,[62647-73584],10527802,2018,25,1.99,0.75,71,0.75,Q3,0.35,B2,[23001011022P9-23001011042P0],2,cluster1
105187,1,[62647],10527808,2013,25,1.62,0.75,91,1.00,Q4,0.00,C/NI/NP,[23001011022P9-23001011042P0],2,cluster1
105188,1,[62647],10527811,2013,25,0.79,0.50,38,0.50,Q2,0.50,B1,[23001011022P9-23001011042P0],2,cluster1
105191,2,[62647-73584],10527814,2019,25,0.95,0.75,63,0.75,Q3,0.50,B1,[23001011022P9-23001011042P0],2,cluster1
105196,2,[62647-73584],10527825,2015,25,0.79,0.50,38,0.50,Q2,0.50,B1,[23001011022P9-23001011042P0],2,cluster1
105200,1,[62647],10527829,2018,25,0.79,0.50,38,0.50,Q2,0.50,B1,[23001011022P9-23001011042P0],2,cluster1
105204,1,[62647],10527833,2014,25,1.99,0.75,71,0.75,Q3,0.35,B2,[23001011022P9-23001011042P0],2,cluster1
105205,1,[62647],10527834,2015,25,0.79,0.50,38,0.50,Q2,0.50,B1,[23001011022P9-23001011042P0],2,cluster1
105208,2,[62647-73584],10527838,2017,25,0.79,0.50,38,0.50,Q2,0.50,B1,[23001011022P9-23001011042P0],2,cluster1
105209,2,[62647-73584],10527839,2017,25,0.79,0.50,38,0.50,Q2,0.50,B1,[23001011022P9-23001011042P0],2,cluster1
105210,1,[62647],10527841,2016,25,1.23,0.75,59,0.75,Q3,0.70,A4,[23001011022P9-23001011042P0],2,cluster1
105291,1,[62705],10536807,2018,25,0.53,0.50,45,0.50,Q2,0.50,B1,[23001011075P5],1,cluster1
105351,1,[86609],10537790,2012,25,1.16,0.75,49,0.50,Q2,0.00,C/NI/NP,[23001011031P8-23001011060P8],2,cluster1
105384,1,[62829],10554418,2017,25,1.57,0.75,52,0.50,Q2,0.70,A4,[23001011012P3],1,cluster1
105398,1,[62829],10554433,2011,25,0.72,0.50,35,0.50,Q2,0.70,A4,[23001011012P3],1,cluster1
105403,1,[62829],10554439,2018,25,4.12,1.00,91,1.00,Q4,0.80,A3,[23001011012P3],1,cluster1
105441,1,[62829],10554480,2017,25,2.44,1.00,71,0.75,Q3,0.90,A2,[23001011012P3],1,cluster1
105450,1,[62829],10554489,2015,25,3.16,1.00,81,1.00,Q4,0.90,A2,[23001011012P3],1,cluster1
105463,1,[87453],10561373,2018,25,4.29,1.00,93,1.00,Q4,0.90,A2,[23001011054P8-23001011170P8],2,cluster1
105467,1,[62912],10570253,2019,25,3.14,1.00,87,1.00,Q4,0.90,A2,[23001011015P2],1,cluster1
105477,1,[62912],10570271,2006,25,1.00,0.75,51,0.50,Q2,0.00,C/NI/NP,[23001011015P2],1,cluster1
105478,1,[62912],10570273,2007,25,1.76,0.75,78,1.00,Q4,0.90,A2,[23001011015P2],1,cluster1
105480,1,[62912],10570282,2018,25,2.55,1.00,89,1.00,Q4,1.00,A1,[23001011015P2],1,cluster1
105482,1,[62912],10570297,2019,25,3.14,1.00,87,1.00,Q4,0.90,A2,[23001011015P2],1,cluster1
105485,1,[62912],10570302,2011,25,2.46,1.00,79,1.00,Q4,0.90,A2,[23001011015P2],1,cluster1
105519,1,[69873],10579990,2017,25,2.97,1.00,86,1.00,Q4,1.00,A1,[23001011042P0],1,cluster1
105520,1,[62972],10580386,2019,25,1.00,0.75,49,0.50,Q2,0.70,A4,[23001011043P6],1,cluster1
105536,1,[62972],10580423,2019,25,1.35,0.75,83,1.00,Q4,0.80,A3,[23001011043P6],1,cluster1
105555,1,[91082],10582547,2016,25,3.02,1.00,89,1.00,Q4,1.00,A1,[23001011170P8],1,cluster1
105556,1,[91082],10582569,2017,25,3.60,1.00,77,0.75,Q3,0.90,A2,[23001011170P8],1,cluster1
105557,1,[91082],10582574,2014,25,2.01,1.00,62,0.75,Q3,0.80,A3,[23001011170P8],1,cluster1
105558,1,[91082],10582578,2018,25,2.64,1.00,71,0.75,Q3,0.90,A2,[23001011170P8],1,cluster1
105559,1,[91082],10582581,2006,25,2.04,1.00,82,1.00,Q4,0.80,A3,[23001011170P8],1,cluster1
105560,1,[91082],10582582,2014,25,3.60,1.00,77,0.75,Q3,0.90,A2,[23001011170P8],1,cluster1
105561,1,[91082],10582597,2016,25,1.51,0.75,58,0.75,Q3,0.70,A4,[23001011170P8],1,cluster1
105563,1,[91082],10582604,2017,25,3.31,1.00,95,1.00,Q4,0.90,A2,[23001011170P8],1,cluster1
105572,1,[63034],10589722,2018,25,4.12,1.00,91,1.00,Q4,0.80,A3,[23001011026P4],1,cluster1
105579,1,[63034],10589730,2007,25,3.50,1.00,87,1.00,Q4,1.00,A1,[23001011026P4],1,cluster1
105590,1,[63034],10589742,2012,25,1.57,0.75,52,0.50,Q2,0.70,A4,[23001011026P4],1,cluster1
105595,1,[63034],10589748,2017,25,2.91,1.00,81,1.00,Q4,0.90,A2,[23001011026P4],1,cluster1
105598,1,[63034],10589751,2014,25,3.50,1.00,87,1.00,Q4,1.00,A1,[23001011026P4],1,cluster1
105615,1,[63034],10589769,2004,25,2.99,1.00,84,1.00,Q4,0.90,A2,[23001011026P4],1,cluster1
105619,1,[63034],10589773,2004,25,2.99,1.00,84,1.00,Q4,0.90,A2,[23001011026P4],1,cluster1
105626,1,[63047],10592194,2002,25,1.10,0.75,44,0.50,Q2,0.00,C/NI/NP,[23001011072P6],1,cluster1
105800,1,[63122],10604320,1993,25,6.37,1.00,97,1.00,Q4,1.00,A1,[23001011061P4],1,cluster1
105803,1,[63122],10604323,1994,25,4.60,1.00,80,1.00,Q4,0.90,A2,[23001011061P4],1,cluster1
105813,1,[63122],10604335,2008,25,2.03,1.00,75,0.75,Q3,0.00,C/NI/NP,[23001011061P4],1,cluster1
105814,1,[63122],10604336,1993,25,6.37,1.00,97,1.00,Q4,1.00,A1,[23001011061P4],1,cluster1
